time,current_grade,target_grade,speed,stock_flow,steam,filler,basis_weight,moisture,ash,caliper,off_spec
1,CP080,CP100,998.0,481.5,4.25,95.1,80.46,5.05,17.98,95.15,1
2,CP080,CP100,996.0,483.0,4.3,95.2,80.72,5.1,18.03,94.99,1
3,CP080,CP100,994.0,484.5,4.35,95.3,80.9,5.1,18.06,94.72,1
4,CP080,CP100,992.0,486.0,4.4,95.4,80.96,5.09,18.04,94.73,1
5,CP080,CP100,990.0,487.5,4.45,95.5,81.02,5.07,18.03,94.54,1
6,CP080,CP100,988.0,489.0,4.5,95.6,81.19,5.14,18.08,94.2,1
7,CP080,CP100,986.0,490.5,4.55,95.7,81.45,5.12,18.06,93.99,1
8,CP080,CP100,984.0,492.0,4.6,95.8,81.8,5.17,18.03,93.9,1
9,CP080,CP100,982.0,493.5,4.6,95.9,81.86,5.15,18.07,93.47,1
10,CP080,CP100,980.0,495.0,4.6,96.0,82.02,5.19,18.07,93.6,1
11,CP080,CP100,978.0,496.5,4.6,96.1,82.2,5.16,18.13,93.46,1
12,CP080,CP100,976.0,498.0,4.6,96.2,82.19,5.15,18.23,93.25,1
13,CP080,CP100,974.0,499.5,4.6,96.3,82.29,5.17,18.23,93.32,1
14,CP080,CP100,972.0,501.0,4.6,96.4,82.46,5.18,18.22,93.38,1
15,CP080,CP100,970.0,502.5,4.6,96.5,83.06,5.19,18.27,93.27,1
16,CP080,CP100,968.0,504.0,4.6,96.6,83.15,5.2,18.32,93.08,1
17,CP080,CP100,966.0,505.5,4.6,96.7,83.48,5.19,18.28,92.99,1
18,CP080,CP100,964.0,507.0,4.6,96.8,83.86,5.15,18.37,92.73,1
19,CP080,CP100,962.0,508.5,4.6,96.9,83.93,5.17,18.4,92.38,1
20,CP080,CP100,960.0,510.0,4.6,97.0,83.87,5.17,18.47,92.34,1
21,CP080,CP100,958.0,511.5,4.6,97.1,84.01,5.2,18.53,92.49,1
22,CP080,CP100,956.0,513.0,4.6,97.2,84.22,5.23,18.51,92.5,1
23,CP080,CP100,954.0,514.5,4.6,97.3,84.31,5.24,18.46,92.65,1
24,CP080,CP100,952.0,516.0,4.6,97.4,84.62,5.25,18.46,92.65,1
25,CP080,CP100,950.0,517.5,4.6,97.5,84.73,5.24,18.47,92.58,1
26,CP080,CP100,950.0,519.0,4.6,97.6,85.06,5.21,18.56,92.49,1
